00:02.400,2L5R
00:02.755,4
00:02.924,3
00:03.092,4
00:03.430,6
00:03.766,2R5L
00:04.083,3
00:04.251,4
00:04.420,3
00:04.759,1
00:05.097,2U5U
00:05.770,2
00:06.107,35
00:06.782,35
00:07.117,4
00:07.454,35
00:07.792,2+6+
00:08.813,1-6-
00:08.965,5
00:09.137,2R
00:11.834,25
00:12.511,6+
00:12.847,36-
00:13.016,5+
00:13.184,1
00:13.522,25-
00:13.865,4
00:14.211,3
00:14.549,2+4
00:14.886,2-5
00:15.057,1+
00:15.227,6
00:15.907,1-5
00:16.591,24
00:16.928,3
00:17.264,4
00:17.601,5
00:17.770,2+
00:17.939,6
00:18.276,2-5
00:18.614,34
00:19.285,2
00:19.454,5
00:19.622,3
00:19.927,25
00:20.264,1
00:20.433,6+
00:20.601,2
00:20.939,36-
00:21.277,3+6+
00:21.952,1-4-
00:22.120,2+
00:22.627,2-5
00:23.302,6+3
00:23.640,26-
00:23.808,5+
00:23.977,1
00:24.315,25-
00:24.652,3
00:24.990,24
00:25.328,15+
00:25.665,25-
00:25.833,1+
00:26.002,6
00:26.678,1-5
00:27.352,62
00:27.521,5
00:27.690,4
00:27.858,3
00:28.028,2
00:28.365,3
00:28.534,6+
00:28.703,2
00:29.039,16-
00:29.377,25
00:30.051,3
00:30.389,5+
00:30.726,25-
00:31.393,5
00:31.731,26+
00:32.082,16-
00:33.097,3
00:33.266,4
00:33.434,5+
00:33.769,25-
00:33.925,1+4
00:34.431,1-6
00:34.769,25
00:35.107,3
00:35.444,4
00:35.782,4
00:35.950,3
00:36.118,2+
00:36.455,2-5
00:36.623,36+
00:37.130,16-
00:37.463,25
00:38.138,4
00:38.477,5
00:38.813,3+6
00:39.151,5+3-
00:39.491,2+5-
00:39.826,2-6
00:40.005,1+
00:40.177,5
00:40.511,1-6
00:40.846,25
00:41.186,4
00:41.524,35
00:42.199,26+
00:42.537,3
00:42.874,1+6-
00:43.211,5
00:43.550,1U6U
00:43.886,3
00:44.055,4
00:44.224,15+
00:44.562,25-
00:44.730,1+
00:44.898,4
00:45.237,1-6+
00:45.573,26-
00:45.911,3
00:46.248,4
00:46.585,4
00:46.754,3
00:46.923,2+6
00:47.261,2-5
00:47.430,6+
00:47.598,3
00:47.935,16-
00:48.271,25
00:48.945,3
00:49.282,25
00:49.619,34
00:49.957,16
00:50.126,5
00:50.295,24
00:50.600,35+
00:50.768,2
00:50.937,1
00:51.274,25-
00:51.443,4
00:51.611,3
00:51.949,2+4
00:52.118,5
00:52.287,6
00:52.623,2-5
00:52.793,3
00:52.962,26+
00:53.299,1
00:53.637,6-2
00:53.975,35
00:54.312,4
00:54.649,35+
00:54.817,2
00:54.985,1
00:55.322,25-
00:55.491,2+
00:55.660,5
00:55.998,6
00:56.335,5
00:56.672,4
00:56.841,5
00:57.009,6
00:57.347,1-5
00:57.516,2
00:57.684,5+3
00:58.022,2
00:58.360,3+6-
00:58.697,5
00:59.033,2U5U
00:59.372,1
00:59.540,2
00:59.625,5
00:59.708,3
00:59.878,4
01:00.047,25
01:00.383,35+
01:00.720,25-
01:00.889,6+
01:01.059,1
01:01.396,26-
01:01.565,3
01:01.649,5
01:01.734,2+
01:01.903,4
01:02.070,2-4
01:02.240,1+
01:02.409,5
01:02.746,1-4
01:02.915,2
01:03.083,5+
01:03.420,35-
01:03.589,2+
01:03.757,4
01:03.922,2-5+
01:04.429,25-
01:04.597,4
