00:01.061,2L4U
0:00:01.72,2+
0:00:02.07,3+
0:00:02.74,1R4L
0:00:03.07,2+3+
0:00:03.42,1=4=
0:00:04.09,2-3-
0:00:04.77,3R
0:00:05.40,2L
0:00:06.09,4R
0:00:06.77,1L
0:00:07.12,3+
0:00:07.44,2+
0:00:08.12,1R4-
0:00:08.44,2+
0:00:09.45,1U
0:00:10.14,3R
0:00:10.79,2R
0:00:11.49,1U4U
0:00:12.17,23
0:00:12.52,1
0:00:12.85,4
0:00:13.19,1
0:00:13.70,2+3+
0:00:14.37,2U3U
0:00:15.22,4
0:00:15.54,1
0:00:15.87,4
0:00:16.39,2+3+
0:00:17.07,2U3U
0:00:17.40,2
0:00:17.59,3
0:00:17.90,2+
0:00:20.10,2-
0:00:20.59,1+
0:00:20.95,3
0:00:21.60,1-3
0:00:21.94,2+
0:00:22.29,4
0:00:22.95,2-4
0:00:23.62,1U3R
0:00:24.97,24
0:00:25.99,3+
0:00:26.32,2
0:00:26.65,2+
0:00:27.35,1-4-
0:00:27.69,2
0:00:28.02,3
0:00:28.35,4
0:00:29.04,23
0:00:29.37,1L4R
0:00:30.04,1+
0:00:30.55,3+
0:00:31.02,2U3U
0:00:31.39,4+
0:00:31.70,1
0:00:32.37,1
0:00:32.72,3R
0:00:33.05,1
0:00:33.39,3U
0:00:34.09,1+
0:00:34.42,3
0:00:35.10,1-3
0:00:35.44,2+
0:00:35.77,4
0:00:36.45,2-4
0:00:37.12,1L3L
0:00:38.47,2R4R
0:00:39.49,1+4+
0:00:40.84,2-3-
0:00:41.17,4
0:00:41.50,3
0:00:41.84,2
0:00:42.19,1+3+
0:00:42.77,2=4=
0:00:43.37,1-3-
0:00:43.87,1R3R
0:00:44.87,1+3
0:00:45.55,1-3
0:00:46.22,24+
0:00:46.90,24-
0:00:47.57,1+3
0:00:48.25,2-3
0:00:48.92,24+
0:00:49.60,23-
0:00:50.27,2+4+
0:00:50.95,1-3=
0:00:51.62,1+3=
0:00:52.29,2-4-
0:00:52.97,1+3+
0:00:53.62,2=4-
0:00:54.29,1=3+
0:00:54.99,2=4-
0:00:55.64,1R4
0:00:56.32,1L3
0:00:57.00,2
0:00:57.70,1
0:00:58.39,14
0:00:59.05,23
0:00:59.72,2L3R
0:01:00.40,1R4L
0:01:01.42,14
0:01:02.09,14
0:01:02.75,23
0:01:03.44,23
0:01:03.77,1+4+
0:01:05.45,1U4-
0:01:07.14,2L3R
0:01:07.65,1+3+
0:01:08.15,3-
0:01:08.49,1-
0:01:08.99,2+4+
0:01:09.50,2-
0:01:09.82,4-
0:01:10.84,2+3+
0:01:11.34,1=4=
0:01:11.85,2=3=
0:01:12.34,1-4-
0:01:13.02,2+4+
0:01:13.51,4U
0:01:13.84,2-
0:01:14.35,1+3+
0:01:14.87,1U
0:01:15.20,3-
0:01:15.87,2+3+
0:01:16.37,2L3R
0:01:16.89,2+3+
0:01:17.40,2U3-
0:01:17.92,14
0:01:18.42,1+3+
0:01:18.94,1U
0:01:19.29,3-
0:01:19.79,2+4+
0:01:20.29,4U
0:01:20.64,2-
0:01:21.30,2L3R
0:01:21.97,2L3R
0:01:22.47,1U4U
0:01:23.32,2+3+
0:01:23.65,2-3-
0:01:23.82,3+
0:01:24.34,2
0:01:24.67,4U
0:01:25.17,2+
0:01:25.69,3
0:01:26.02,1U
0:01:26.69,3
0:01:26.85,1
0:01:27.19,3
0:01:27.37,1
0:01:27.70,3
0:01:27.85,1
0:01:28.19,4
0:01:28.35,2+
0:01:28.69,2U
0:01:29.37,4
0:01:29.54,2
0:01:29.87,4
0:01:30.05,2
0:01:30.39,4
0:01:30.55,2
0:01:30.89,3
0:01:31.07,1+
0:01:31.37,1U
0:01:32.07,0!
0:01:37.45,2+3+
0:01:38.47,1-4-
0:01:38.79,2+3+
0:01:39.32,1=4=
0:01:39.82,2-3-
0:01:40.15,24+
0:01:40.84,4R
0:01:41.52,1+3
0:01:42.17,1L
0:01:42.85,1+4+
0:01:44.22,1R3-
0:01:44.89,2U
0:01:45.57,4+
0:01:46.24,1+
0:01:46.59,3-
0:01:46.92,4+
0:01:47.59,2-
0:01:47.94,3-
0:01:48.27,2+3+
0:01:49.62,1R4-
0:01:50.29,2+3+
0:01:50.97,1=
0:01:52.65,2-4-
0:01:52.99,23
0:01:53.65,4U
0:01:53.99,1U
0:01:54.32,4U
0:01:54.84,2+3+
0:01:55.50,2U3U
0:01:56.35,4R
0:01:56.69,1L
0:01:57.04,4R
0:01:57.54,1+4+
0:01:58.72,1R4U
0:01:59.72,2+4+
0:02:00.40,3=
0:02:00.74,1=
0:02:01.74,4=
0:02:02.07,2=
0:02:03.77,2-3-
