00:00.404,6+3+
00:01.488,1-4-
00:01.848,16
00:02.211,2
00:02.391,5
00:02.753,3
00:02.934,2
00:03.113,1
00:03.296,1+4+
00:04.380,6-3-
00:04.740,16
00:05.102,5
00:05.283,2
00:05.645,3
00:05.825,5+2
00:06.006,1
00:06.187,6-2+
00:06.548,6
00:06.910,5
00:07.271,1-4
00:07.632,2+5
00:07.994,62-
00:08.175,3+
00:08.536,53-
00:08.717,2+
00:08.898,4
00:09.077,1-4+
00:09.440,1
00:09.801,2
00:10.162,6-3
00:10.524,25+
00:10.885,15-
00:11.066,4+
00:11.429,14-
00:11.608,5
00:11.790,2
00:11.970,5
00:12.151,3
00:12.332,6+
00:12.692,5-3
00:12.874,5
00:13.055,2+
00:13.417,1-4
00:13.776,3
00:13.958,6
00:14.138,2
00:14.319,5
00:14.501,1
00:14.681,4
00:14.862,2
00:15.043,4
00:15.223,2+
00:15.584,1-4
00:15.766,2
00:15.946,6+
00:16.307,35-
00:16.669,4
00:16.850,1
00:17.031,5
00:17.211,2
00:17.392,6
00:17.573,3
00:17.753,52L
00:18.656,5
00:18.838,4
00:19.018,3
00:19.199,2U5U
00:20.103,1+6+
00:20.464,2-5-
00:20.645,6
00:20.826,1
00:21.007,5
00:21.187,2
00:21.368,4
00:21.549,3
00:21.910,2L5R
00:22.634,1+5+
00:22.995,1-5-
00:23.176,2
00:23.357,4
00:23.537,1R5+
00:23.899,1R5-
00:24.079,4+
00:24.260,1R
00:24.440,4-
00:24.621,5
00:24.802,3
00:24.983,2+6L
00:25.344,6L2-
00:25.525,3+
00:25.705,6L
00:25.887,3-
00:26.067,2
00:26.248,4
00:26.428,1+
00:26.610,5
00:26.789,1-4
00:26.971,3
00:27.152,5+
00:27.332,2
00:27.513,15-
00:27.694,6+
00:27.875,2
00:28.055,6-3
00:28.236,4
00:28.417,2+5+
00:28.778,2-5-
00:28.959,25
00:29.320,2+5+
00:29.682,2U5U
00:30.043,2
00:30.224,3
00:30.405,4
00:30.586,5
00:30.766,6+
00:30.947,3
00:31.129,6-2
00:31.308,1+
00:31.672,1-5
00:31.850,4
00:32.030,3
00:32.212,4+
00:32.393,2
00:32.574,6-2
00:32.754,5
00:32.934,3+
00:33.296,1-5
00:33.477,5
00:33.658,1L4+
00:33.838,4-
00:34.019,1L5+
00:34.200,5-
00:34.381,1L4+
00:34.561,4-
00:34.742,1L5+
00:34.923,5-
00:35.103,1+6
00:35.284,5
00:35.465,4
00:35.646,62L
00:36.007,25
00:36.188,25
00:36.550,16+
00:36.730,2
00:36.911,3
00:37.093,15U
00:37.453,25
00:37.634,25
00:37.996,1R4R
00:38.176,2+
00:38.357,4
00:38.538,2-
00:38.719,2R5R
00:38.899,3+
00:39.080,5
00:39.261,3-
00:39.441,63
00:39.622,2+5+
00:39.829,1=4=
00:39.983,2-5-
00:40.164,3
00:40.254,5
00:40.346,2
00:40.887,2+4
00:41.248,6R2L
00:41.611,25
00:41.791,6+
00:41.972,3
00:42.153,6-2
00:42.333,1+5
00:42.514,4
00:42.695,1-
00:42.875,25
00:43.237,4+
00:43.417,1
00:43.598,14-
00:43.778,2R5R
00:44.140,6R3R
00:44.682,25
00:44.863,2+
00:45.043,6
