00:02.113,12+
00:02.612,1+2-
00:02.987,1-2
00:03.113,1
00:03.362,2
00:03.612,1
00:03.862,2
00:04.113,2+1R
00:04.613,1+2-
00:04.988,1-2
00:05.111,1+
00:05.591,1-2
00:06.092,12+
00:06.592,1+2-
00:06.968,1-2
00:07.093,1
00:07.343,2
00:07.593,1
00:07.843,2
00:08.093,1+2
00:08.594,1-2
00:09.095,1+2+
00:10.095,2-1R
00:11.096,2+
00:12.098,1DR
00:12.845,2
00:13.097,1U
00:14.088,12
00:14.847,1
00:15.098,2
00:15.848,2U
00:16.097,1U
00:16.857,1L
00:17.113,2R
00:18.117,1U2U
00:19.119,2
00:19.869,1
00:20.119,2
00:20.870,2
00:21.120,1U
00:21.871,1
00:21.996,2
00:22.121,1+
00:22.872,1-2
00:23.123,1
00:23.373,2
00:23.623,1
00:23.873,2
00:24.123,1R
00:24.875,2
00:25.124,1L
00:26.126,1+
00:26.499,2
00:26.873,1-2
00:27.124,1
00:27.374,2
00:27.624,1
00:27.875,2
00:28.125,1+2+
00:28.871,1-2-
00:29.121,1R2L
00:30.122,2+
00:30.472,1
00:30.841,12-
00:31.091,2
00:31.344,1
00:31.595,2
00:31.841,1
00:32.092,1+2
00:32.860,2
00:33.093,1-2
00:34.094,1+
00:34.347,1-2
00:34.479,1
00:34.853,12
00:35.093,2+
00:35.343,12-
00:35.468,2
00:35.844,12
00:36.093,1+
00:36.344,1-2
00:36.469,1
00:36.844,12
00:37.096,2+
00:37.345,12-
00:37.471,2
00:37.845,12
00:38.096,1+
00:38.838,2S-
00:39.096,2L
00:39.838,1
00:40.089,1+2
00:40.602,1-2+
00:41.097,1U2-
00:41.827,1
00:41.952,2
00:42.079,1
00:42.335,2
00:42.460,1
00:42.590,2
00:42.834,1
00:42.963,2
00:43.092,1
00:43.343,2
00:43.613,1
00:43.862,2
00:44.111,12+
00:44.613,1+2-
00:45.114,1-2+
00:45.614,12-
00:46.114,1+2
00:46.615,1-2
00:46.865,2
00:47.116,1
00:47.241,2
00:47.366,1
00:47.866,2
00:48.116,12+
00:48.617,1+2-
00:49.118,1-2
00:49.618,1L2R
00:49.868,1
00:49.994,2
00:50.119,1
00:50.369,2
00:50.494,1
00:50.619,2
00:50.869,1
00:50.995,2
00:51.119,1
00:51.371,2
00:51.621,1
00:51.870,2
00:52.121,12
00:52.621,1+2
00:53.105,1-2+
00:53.601,12-
00:54.096,1+2+
00:54.581,1-2-
00:54.831,1
00:54.956,2
00:55.081,1
00:55.586,12+
00:56.081,12-
00:56.207,2
00:56.456,1
00:56.831,2
00:57.082,1+2+
00:57.832,1-2-
00:58.083,2+
00:58.584,12-
00:58.834,1
00:59.084,1+
00:59.584,1-2
00:59.835,2
01:00.086,1+2
01:00.586,1-2+
01:01.103,12-
01:02.087,1+
01:02.588,1-2
01:02.838,2
01:03.089,2+
01:03.589,12-
01:03.838,1
01:04.089,12+
01:04.590,1+2-
01:05.086,1-2
01:06.080,12
01:06.463,2
01:06.838,1
01:07.100,12
01:07.330,2
01:07.586,1
01:07.837,2
01:08.108,1+2
01:08.840,2
01:09.097,1-2
01:10.096,12
01:10.346,1
01:10.472,2
01:10.847,1
01:11.097,12
01:11.348,2
01:11.597,1
01:11.848,2
01:12.098,1+2+
01:12.847,1-2-
01:13.101,2U1U
01:14.080,12
01:14.456,2
01:14.831,1
01:15.080,12
01:15.332,2
01:15.582,1
01:15.833,2
01:16.083,1+2
01:16.833,1-2
01:17.082,1
01:17.843,2
01:17.955,1
01:18.081,2+
01:18.832,12-
01:19.082,2
01:19.332,2
01:19.583,1
01:19.833,1
01:20.083,1R2L
01:21.085,1U2U
01:21.584,12
01:21.835,1
01:21.960,2
01:22.086,1
01:22.335,2
01:22.460,1
01:22.585,2
01:22.836,1
01:22.961,2
01:23.086,1
01:23.336,2
01:23.586,1
01:23.837,2
01:24.087,12+
01:24.587,1+2-
01:25.088,1-2+
01:25.588,12-
01:26.089,1+2
01:26.590,1-2
01:26.840,2
01:27.090,1
01:27.215,2
01:27.340,1
01:27.841,2
01:28.091,12+
01:28.591,1+2-
01:29.093,1-2
01:29.590,1L2R
01:29.841,1
01:29.965,2
01:30.091,1
01:30.341,2
01:30.466,1
01:30.591,2
01:30.841,1
01:30.966,2
01:31.092,1
01:31.342,2
01:31.590,1
01:31.840,2
01:32.086,12
01:32.593,1+2
01:33.094,1-2+
01:33.620,12-
01:34.104,1+2+
01:34.617,1-2-
01:34.872,1
01:34.996,2
01:35.122,1
01:35.621,12+
01:36.122,12-
01:36.248,2
01:36.498,1
01:36.875,2
01:37.124,1+2+
01:37.850,1-2-
01:38.114,1+
01:38.351,2
01:38.600,1-
01:38.851,2+
01:39.099,1
01:39.349,2-
01:39.599,1+
01:39.849,2
01:40.083,1-
01:40.332,2
01:41.084,2+
01:41.459,12-
01:41.583,2
01:41.833,1
01:42.084,2
01:42.334,1
01:42.585,12
01:42.834,2
01:43.086,1
01:43.350,12
01:44.096,1!
01:50.102,1+
01:50.463,1-2
01:50.597,1
01:50.835,2
01:51.085,1
01:51.336,2
01:51.585,12
01:51.844,2
01:52.086,1
01:52.338,12
01:52.587,12
01:52.837,12
01:53.088,2R1
