00:03.072,4
00:03.572,1
00:04.082,4
00:04.589,1
00:05.089,4R1R
00:05.590,3
00:06.090,2
00:07.091,1
00:07.592,4
00:08.092,1
00:08.590,4
00:09.060,2+4+
00:10.071,1-3-
00:11.056,1R
00:12.057,2+
00:13.058,1R
00:14.060,1U
00:15.063,1+4+
00:16.067,1-4-
00:16.818,3U
00:17.069,2U
00:17.801,2L
00:18.053,3R
00:19.053,1U4U
00:20.054,3
00:21.056,2
00:22.057,2U
00:23.057,2+3+
00:24.072,1-4-
00:24.799,2
00:25.049,3R
00:25.800,3
00:26.055,2L
00:27.068,3+
00:28.070,4-2+
00:28.820,1-3
00:29.070,2+3+
00:30.072,1R4L
00:31.072,2+3+
00:31.801,1=4=
00:32.579,2-3-
00:32.824,4
00:33.074,4+1+
00:34.059,4-1-
00:35.059,2
00:35.436,1
00:36.062,3
00:36.437,4
00:37.067,2+3+
00:37.443,1-4-
00:38.057,4
00:38.432,4
00:39.058,1+3+
00:40.059,4-2L
00:41.059,14
00:41.560,23
00:42.060,1U
00:43.074,41
00:43.575,41
00:44.074,2
00:44.576,3
00:45.059,14
00:45.560,2
00:46.060,1+3+
00:46.561,2-4-
00:47.061,3
00:47.562,24
00:48.062,3
00:48.563,4
00:49.064,3
00:49.575,2
00:50.069,1+4+
00:50.556,2L3R
00:51.071,14
00:51.566,41
00:52.064,2
00:52.564,3
00:53.068,42
00:53.576,1
00:54.077,2
00:54.577,3
00:55.078,2+3+
00:55.579,4-1-
00:56.092,4L1L
00:56.574,4
00:57.076,23
00:57.576,1
00:58.076,1+4+
00:58.825,1-4-
00:59.075,4U1U
00:59.574,13
01:00.076,2+4+
01:00.576,2-4-
01:01.076,1+3+
01:01.593,1-3-
01:02.077,24
01:03.078,1+4+
01:03.578,1-4-
01:04.070,2+3+
01:04.562,1-4-
01:05.073,1+4+
01:05.558,1-4-
01:06.059,23
01:07.075,23
01:07.810,2
01:08.061,3
01:08.813,4
01:09.067,4+1+
01:10.078,1-4-
01:11.060,1+3+
01:11.810,4-2-
01:12.060,4
01:12.821,1
01:13.061,1+4+
01:13.811,1-4-
01:14.061,4U1U
01:15.061,2+4+
01:15.808,1-3-
01:16.059,1
01:16.811,4
01:17.071,1+4+
01:17.811,4-1-
01:18.072,1
01:18.825,1
01:19.090,1+3+
01:19.577,2-4-
01:20.095,4L2R
01:21.079,4L1R
01:22.079,2U3U
01:23.090,14
01:23.578,14
01:24.079,2
01:24.587,3
01:25.077,14
01:25.579,2
01:26.077,1+3+
01:26.560,2-4-
01:27.061,1+4
01:27.564,1-3
01:28.063,24+
01:28.562,14-
01:29.079,3
01:29.581,2
01:30.064,1+4+
01:30.576,2L3R
01:31.065,24
01:31.565,13
01:32.066,2
01:32.566,3
01:33.067,42
01:33.568,1
01:34.068,2
01:34.569,3
01:35.073,2+3+
01:35.569,1-4-
01:36.080,1L4L
01:36.580,4
01:37.065,23
01:37.565,1
01:38.066,4+1+
01:38.816,1-4-
01:39.066,4
01:39.818,3
01:40.568,1
01:41.321,2
01:42.070,1+3
01:42.833,1-4
01:43.548,4+2
01:44.305,14-
01:45.056,1!
01:51.073,24
01:51.822,13
01:52.555,4
01:52.805,3
01:53.072,2
01:53.324,3
01:53.557,2
01:53.806,1
01:54.057,4R1R
