00:02.698,14
00:02.866,1
00:02.956,4
00:03.137,2
00:03.228,5
00:03.409,3
00:03.499,6
00:03.682,2+
00:03.770,5+
00:03.861,2-
00:03.951,5-
00:04.132,36
00:04.329,6
00:04.421,3
00:04.601,5
00:04.693,2
00:04.870,4
00:04.950,1
00:05.144,5
00:05.235,2+
00:05.415,2-5
00:05.597,1U6
00:05.942,1+5
00:06.303,6+3-
00:06.665,4-2
00:07.027,16
00:07.208,25
00:07.396,34
00:07.586,25
00:07.767,4+
00:07.816,3+
00:07.861,4-
00:07.909,3-
00:07.946,5+
00:07.992,2+
00:08.035,5-
00:08.084,2-
00:08.130,6+
00:08.173,1+
00:08.217,6-
00:08.269,1-
00:08.318,5+
00:08.367,2+
00:08.400,5-
00:08.442,2-
00:08.481,4+
00:08.654,14-
00:08.849,25+
00:09.015,35-
00:09.204,1+6
00:09.391,1-5
00:09.491,2+
00:09.667,2-4
00:09.747,2
00:09.932,15
00:10.130,24
00:10.300,3
00:10.390,5
00:10.481,2
00:10.572,6+
00:10.752,6-3
00:10.858,5+
00:11.024,15-
00:11.115,4
00:11.205,2
00:11.295,5
00:11.387,3+
00:11.550,63-
00:11.761,2+5
00:11.929,2-4
00:12.110,16+
00:12.274,26-
00:12.365,5+
00:12.544,35-
00:12.624,5
00:12.817,62
00:12.983,35
00:13.164,4
00:13.269,2
00:13.359,5
00:13.450,1+
00:13.639,1-4
00:13.722,2+
00:13.919,62-
00:14.009,3
00:14.100,5
00:14.191,2
00:14.279,4+
00:14.444,14-
00:14.625,25+
00:14.808,35-
00:14.970,1+6
00:15.152,1-5
00:15.243,2+
00:15.424,2-4
00:15.514,2
00:15.694,15
00:15.876,24
00:16.057,3
00:16.150,5
00:16.237,2
00:16.328,6+
00:16.510,36-
00:16.601,5+
00:16.786,15-
00:16.887,4
00:16.978,2
00:17.068,5
00:17.159,3+
00:17.323,3-6
00:17.512,2+5
00:17.685,2-4
00:17.866,16+
00:18.047,26-
00:18.137,5+
00:18.333,35-
00:18.409,5
00:18.591,16
00:18.770,25
00:18.949,4
00:19.049,3
00:19.136,5
00:19.226,2+
00:19.405,2-4
00:19.497,3
00:19.693,1+6+
00:19.857,1-6-
00:20.043,2R5L
00:21.326,16
00:21.520,5+
00:21.610,2+
00:21.700,5-
00:21.791,2-
00:21.881,4+
00:21.972,1+
00:22.062,4-
00:22.152,1-
00:22.243,5+
00:22.424,2+5-
